feature,importance
RESOURCE_Size,0.05239622864811082
DllCharacteristics,0.044538892139788615
_xcptfilter,0.0269617221584536
MajorImageVersion,0.02459962329886062
__setusermatherr,0.024490009775211083
.rsrc,0.021637495408579243
DEBUG_Size,0.021477073449520493
msvcrt.dll,0.02119421470826627
comctl32.dll,0.018119011703481888
IMPORT_Size,0.017620320756205697
exit,0.01741844881272285
_exit,0.016575992071971156
CheckSum,0.016396962214484955
_initterm,0.016313005428472263
SizeOfStackCommit,0.01550334556495285
memset,0.015286954083015494
LOAD_CONFIG_Size,0.01449188063893966
Overlay,0.014458389608674705
.data,0.013186335501052799
SECURITY_Size,0.012520760121888717
MajorSubsystemVersion,0.012262698295180993
MajorOperatingSystemVersion,0.011693824782376381
__set_app_type,0.011690251678558545
Header,0.011330805786451731
RESOURCE_VA,0.010397500846906443
MinorOperatingSystemVersion,0.009856591329333274
BaseOfData,0.00872900549484764
ImageBase,0.008522357788962081
api-ms-win-core-errorhandling-l1-1-0.dll,0.00803846281043802
_fmode,0.007622985669998523
api-ms-win-core-processthreads-l1-1-0.dll,0.007621730608674859
SizeOfUninitializedData,0.0071273333710009336
api-ms-win-core-profile-l1-1-0.dll,0.006711505889192559
showwindow,0.006613076489463044
Characteristics,0.006549944222036702
SECURITY_VA,0.006514635471516552
Total,0.00644824676694921
imagelist_create,0.006364247087942778
beginpaint,0.006241957528096253
_cexit,0.006207910026183056
gdi32.dll,0.006166363136721428
settextcolor,0.006092754111866232
api-ms-win-core-sysinfo-l1-1-0.dll,0.006065032867192256
.text,0.005798977054316008
IMPORT_VA,0.005489025634801911
IAT_Size,0.005394494323164486
_amsg_exit,0.005244778289142722
settimer,0.005138068489748407
e_lfanew,0.004974431310845507
SizeOfStackReserve,0.004968839265600135
getsystemmetrics,0.0049259008714515875
trackpopupmenu,0.004882208544672695
comdlg32.dll,0.004773265599676231
version.dll,0.004598939291538491
_wcsicmp,0.004170384517147636
MinorLinkerVersion,0.0040864730329775575
?terminate@@yaxxz,0.004048286840897601
rtlcapturecontext,0.0039042436133134763
SizeOfImage,0.003885082332852844
oleuninitialize,0.003774249694432259
_except_handler4_common,0.0036055251488068883
BASERELOC_VA,0.0035851270074267988
EXCEPTION_VA,0.003574679852458317
postquitmessage,0.00335460380694185
SizeOfCode,0.0033038768103107775
iswindow,0.003160981670073999
_callnewh,0.0030226215925946813
closeclipboard,0.003019902197537938
MajorLinkerVersion,0.0029568212531464843
__p__fmode,0.0029362013999571237
setcursor,0.0028400161091878917
getsyscolor,0.002793570296292038
EXCEPTION_Size,0.002789193937446968
IAT_VA,0.002777602106556127
Magic,0.0027553586792210833
endpaint,0.002618909546717263
tlsfree,0.0026125582997715718
upx1,0.002605424649706663
AddressOfEntryPoint,0.0025699444006299955
_controlfp,0.0025536568869906763
getcpinfo,0.0025527215056260423
.reloc,0.0024915622401623107
invalidaterect,0.0024662386191128785
openclipboard,0.0024303980401390816
SizeOfInitializedData,0.0024273557220548807
cotaskmemfree,0.002426427352582432
getwindowrect,0.0024158511284617197
virtualprotect,0.002372720462898766
MinorSubsystemVersion,0.0023242836051562015
SizeOfOptionalHeader,0.002323602592828757
malloc,0.002295543884063214
DEBUG_VA,0.002283943477780356
_cxxthrowexception,0.0022671602069664217
BaseOfCode,0.002190338616600467
.pdata,0.0021347205211323605
_o_terminate,0.00210012811244087
api-ms-win-core-handle-l1-1-0.dll,0.0020938902960540213
.rdata,0.002090703465596992
setstdhandle,0.002075297839281003
getdc,0.0020666674589531787
enddialog,0.002027668358363332
_purecall,0.0020054029966110583
selectobject,0.001972597459383043
.idata,0.001962063153068264
setclipboarddata,0.001958911404422333
LOAD_CONFIG_VA,0.0019289926765370423
createbrushindirect,0.0018899910808706194
setwindowpos,0.0018522624948915237
setbkmode,0.0018496004747185569
charnexta,0.0018370350322432373
memcpy,0.0018285355917217214
__cxxframehandler3,0.0018249205333911334
destroywindow,0.0018027360869526212
getdevicecaps,0.0017852186968015148
api-ms-win-core-libraryloader-l1-2-0.dll,0.0017061731070208957
enablewindow,0.0016615490862614552
mpr.dll,0.0016470412726115886
_c_exit,0.001630864058359864
_initterm_e,0.0016218403529102766
getdlgitem,0.0016124611800490702
tlsgetvalue,0.0016058608581181737
_o__set_fmode,0.0015926288689351062
isvalidcodepage,0.0015739510122736511
api-ms-win-crt-private-l1-1-0.dll,0.0015559617347833774
getexitcodeprocess,0.0015508045576629764
getfilesize,0.0015475244128443388
getmenuitemcount,0.0015362476179747251
exitwindowsex,0.0015300191254474583
BASERELOC_Size,0.0015240566575537879
_o__register_onexit_function,0.0014768361655355588
getobjecttype,0.0014754552751585846
leavecriticalsection,0.0014558667905583533
getmessageextrainfo,0.0014380725622746985
acquiresrwlockexclusive,0.001406963604444071
__dllonexit,0.0013878094084625436
memcmp,0.0013375624094518399
_vsnwprintf,0.001261572637219447
SizeOfHeaders,0.0012565436610057477
api-ms-win-core-interlocked-l1-1-0.dll,0.0012307882401908536
getfullpathnamea,0.0011695047548454093
_o__set_app_type,0.0011535402190762526
_unlock,0.0011075799532710322
_o___std_exception_destroy,0.0011068405601603296
_o__cexit,0.001091326829811202
removedirectorya,0.0010863223628731938
getcommandlinea,0.0010839073686011995
iswindowvisible,0.0010565983193964222
NumberOfSections,0.0010447549983975196
getlogicaldrives,0.0010176711375187821
imagelist_add,0.0010137488130551743
createwindowexa,0.001005793465320674
_lock,0.000986927348770453
cryptencrypt,0.0009667889441905474
gettickcount,0.0009629137378426357
Subsystem,0.0009497831026873801
cryptgenrandom,0.0009477932253200193
interlockedexchange,0.0009466818249389588
cryptexportkey,0.0009354563951886708
wnetcloseenum,0.000883521257285696
globalrealloc,0.0008769939488548925
releasesrwlockexclusive,0.0008555356042459951
getlasterror,0.0008316062709268199
sendmessagea,0.0008303185842177966
callwindowproca,0.000823691381171522
findvolumeclose,0.0008221480030878245
rtlvirtualunwind,0.0008102951485663796
api-ms-win-crt-string-l1-1-0.dll,0.0007909007402375858
createdirectorya,0.0007784790402152686
Machine,0.000773717217859595
__wgetmainargs,0.000767940344692147
exitprocess,0.0007566394352869563
_wcmdln,0.0007539835602402948
_o__callnewh,0.0007368215445271645
updatewindow,0.0007322068755617116
SectionAlignment,0.0007318800242658571
registerclassa,0.0007180370277059748
getcurrentprocessid,0.0007164828203865538
loadlibrarya,0.0007027458216663828
getcomputernamea,0.0007022221346529175
mscoree.dll,0.0006977241161104148
advapi32.dll,0.0006957257476973576
writeconsolea,0.0006882762859653632
findnextfilea,0.0006837888419612455
widechartomultibyte,0.0006808885022618727
defwindowproca,0.0006780420630473572
setwindowlonga,0.0006652054097257901
interlockeddecrement,0.0006480340277398722
ole32.dll,0.0006383850630733282
getconsolecp,0.0006339552514919318
getconsolemode,0.0006268245778609162
getstartupinfoa,0.0006262435354084899
secur32.dll,0.0006237618316349174
createbitmap,0.0006202392287924515
wininet.dll,0.0006180955466244721
setenvironmentvariablea,0.0006140676672598175
changetimerqueuetimer,0.0006129750224642578
wsprintfa,0.0006088979246620839
windowsduplicatestring,0.0005981837739161255
setwindowtexta,0.0005903492590486999
virtualfree,0.0005853235933093809
api-ms-win-core-synch-l1-1-0.dll,0.0005846283229113679
loadimagea,0.0005822029027916026
regenumkeya,0.0005725261137433434
api-ms-win-crt-runtime-l1-1-0.dll,0.0005722927751055794
charpreva,0.0005722737315949209
.didat,0.0005721869599487432
globallock,0.0005695599989969417
findfirstfilea,0.0005660005420111034
shell32.dll,0.0005602693023506075
_o__initialize_onexit_table,0.0005602300435898116
deletefilea,0.0005592856358356128
getoemcp,0.000553128062728615
setfileattributesa,0.0005473195301300902
dialogboxparama,0.0005445934977783189
api-ms-win-core-util-l1-1-0.dll,0.0005384563065506865
regdeletekeya,0.0005273699024037639
_o__errno,0.0005221560051408098
setdlgitemtexta,0.0005174506793796462
emptyclipboard,0.0005083193966594046
getwindowlonga,0.0005078053322717851
api-ms-win-core-synch-l1-2-0.dll,0.0004986435438175854
initializecriticalsectionandspincount,0.0004957312666553277
lookupprivilegevaluea,0.00047941625105458004
getsystemtimeasfiletime,0.00047222884659110564
TLS_VA,0.0004720860478961332
rooriginateerror,0.0004709091096189609
createprocessa,0.0004673830968031031
?__abi_winrtraisefailureexception@@yaxxz,0.0004617386752379454
lockresource,0.00045476076873568943
_onexit,0.0004488979708908438
getwindowsdirectorya,0.00044062582574803526
.gfids,0.00043696059562039986
entercriticalsection,0.0004314728466694022
DELAY_IMPORT_VA,0.00043095682276085394
setprocesswindowstation,0.0004301648249304743
imagelist_setimagecount,0.00042768186311777453
shellexecutea,0.0004214424293234702
strstria,0.00041498247400505243
regclosekey,0.00040883868978769286
?recreatefromexception@details@platform@@yajpe$aavexception@2@@z,0.0004083258561975524
wincorlib.dll,0.00040784698822174143
cryptgenkey,0.00040476294476042974
winspool.drv,0.00040343464404577145
waitforsingleobject,0.0004032587749405895
movefilea,0.0004020565124763107
dragfinish,0.00040079375463992995
_o__configure_wide_argv,0.0003997732265318181
writeconsoleoutputattribute,0.00039613631148917387
releasedc,0.0003931071340239534
NumberOfSymbols,0.00038593724810175435
bitblt,0.0003819374408657366
peekmessagea,0.00037857267798952697
senddlgitemmessagea,0.00037521546706324
lcmapstringa,0.0003694705363604233
createthreadpooltimer,0.00036702421077526186
systemfunction036,0.0003654359791079317
ntopenfile,0.0003631556435211302
httpsendrequesta,0.0003617921330158919
setvolumemountpointa,0.00035844148443306
getwindow,0.00035821266139935597
findclose,0.00035007969172320746
e_ovno,0.0003461237968856244
unhandledexceptionfilter,0.0003421200726802326
getvolumeinformationa,0.0003402390433988932
closehandle,0.0003394059865281967
_o_exit,0.0003385212594043572
getclassinfoa,0.0003366079692180852
_wtoi,0.00032375043458924966
getcapture,0.0003232050318799114
queryperformancecounter,0.00032192381068550505
rtlallocateheap,0.00032165378018197987
decodepointer,0.000321622549736806
getprocessheap,0.00031848921986239905
getdlgitemtexta,0.000318141552350777
charlowerbuffa,0.000315206486990304
findresourcea,0.0003125246999003428
getlocaleinfoa,0.0003095586391264558
findtexta,0.0003091980358119928
getprivateprofilesectionnamesa,0.00030842926371158494
setcurrentdirectorya,0.00030568444681259877
swprintf_s,0.00030249517120999536
verqueryvaluea,0.00030131102927139685
postqueuedcompletionstatus,0.00030050562853197794
getwindowtextlengtha,0.00029973729874448543
coinitialize,0.00029922209115449614
begindeferwindowpos,0.0002967182261608799
regdeletevaluea,0.00029645817099477936
user32.dll,0.00029092080097754483
getsystemmenu,0.0002891777297173232
charupperbuffa,0.00028798546410112297
charuppera,0.0002841365274794104
msvcr90.dll,0.00028360793780892645
.sxdata,0.00027450021304125933
api-ms-win-core-heap-l1-1-0.dll,0.0002715374997428385
globaldeleteatom,0.000267654833876544
isbadreadptr,0.0002659557002992186
getversion,0.000263004508201853
getparent,0.0002616498883532286
getdiskfreespacea,0.0002601946785198597
loadstringa,0.0002601717838736331
COM_DESCRIPTOR_Size,0.0002586834159417529
COM_DESCRIPTOR_VA,0.00025629187572480866
free,0.0002558317254896306
postmessagea,0.00025314230379104406
terminatethread,0.0002522611670206527
_wcstoui64,0.00025177618060817425
shbrowseforfoldera,0.0002486522287517286
copysid,0.00024815883359998397
sizeofresource,0.0002470056418668404
setunhandledexceptionfilter,0.0002469810116669402
setconsolecursorposition,0.0002445355728104443
copyfilea,0.00024259229055190464
settokeninformation,0.00024116539307148562
adjusttokenprivileges,0.00023777413232330978
regenumvaluea,0.0002375989628128197
_adjust_fdiv,0.00023755175395327513
heapsetinformation,0.00023550310861526028
getsystemdirectorya,0.00023025819201456015
setforegroundwindow,0.0002294156982883113
getfileattributesa,0.00022717805024857833
killtimer,0.00022673844135489733
api-ms-win-crt-stdio-l1-1-0.dll,0.00022541688794127355
cocreateinstance,0.0002232397028947189
stretchblt,0.00022284972183797254
getwindowthreadprocessid,0.00022088689625138027
findwindowexa,0.0002208005410709033
heapfree,0.00022069484428437113
filetimetolocalfiletime,0.00021833177442161526
imagelist_destroy,0.00021761671833268436
sendmessagetimeouta,0.00021692269616240052
msvcp_win.dll,0.00021615665239556607
shlwapi.dll,0.0002157678746767996
getprocessaffinitymask,0.00021576642368921543
isiconic,0.00021538750733172927
createfilemappinga,0.00021448322515715178
ischild,0.00021440799652882797
memmove,0.00021435062764987872
api-ms-win-core-registry-l1-1-0.dll,0.00021392379339101205
getcurrentthreadid,0.0002134342272498457
peeknamedpipe,0.00021257345404115583
localfree,0.0002121028622094322
systemtimetofiletime,0.00021146898626797463
shgetspecialfolderlocation,0.00021111912787868167
api-ms-win-core-localization-l1-2-0.dll,0.00021079380222720914
openscmanagera,0.00021059888964138535
controlservice,0.0002083158933909178
qsort,0.00020775146526494297
callnexthookex,0.00020653742802458728
kernel32.dll,0.00020630030687370668
versetconditionmask,0.00020435850550347634
unhookwindowshookex,0.00020411057016650193
e_cp,0.00020350734517256803
etweventregister,0.00020288993704770786
getenvironmentstrings,0.0002028581180253551
heapalloc,0.00020236882358553655
getenvironmentvariablea,0.00020198904718994246
destroyicon,0.00020182985582093603
wcstoul,0.00020171160467822333
sysstringlen,0.00020120573827466377
__getmainargs,0.00020101507881267245
createmutexa,0.00020089321156847815
raiseexception,0.00020072592441209596
createthread,0.00019903913080337717
_acmdln,0.00019792669674693862
getuserdefaultlcid,0.0001963491819194804
EXPORT_VA,0.00019618965118361461
convertstringsecuritydescriptortosecuritydescriptorw,0.00019578076058955282
api-ms-win-core-processenvironment-l1-1-0.dll,0.0001946567821262039
getsubmenu,0.00019452690129539673
flushfilebuffers,0.00019381083974170823
initializeslisthead,0.00019359123857761048
closeservicehandle,0.00019305032339652189
freeenvironmentstringsa,0.00019252841792589785
msimg32.dll,0.00019243454585466405
FileAlignment,0.00019144143308348884
duplicatehandle,0.00019092838062788835
api-ms-win-core-debug-l1-1-0.dll,0.00018866016923057275
api-ms-win-security-base-l1-1-0.dll,0.00018863854897176454
wcscpy_s,0.00018862901691974243
setsecuritydescriptorowner,0.0001884703338793808
getclientrect,0.00018817275849206076
terminateprocess,0.00018811312257263708
DELAY_IMPORT_Size,0.0001877784279353421
rtlverifyversioninfo,0.0001870000797428175
cryptdestroykey,0.00018687177429989156
setprocesspriorityboost,0.00018536172465396963
lookupaccountnamew,0.00018359988705490837
_wcsupr,0.00018357889365907764
localrealloc,0.00018116046490959051
upx2,0.00018087504111157868
api-ms-win-crt-math-l1-1-0.dll,0.00018015481724830535
createdialogparama,0.00017683830717125576
globalfree,0.00017571621536493912
getmenustate,0.00017409265760342157
tlsalloc,0.00017190113721292689
tlssetvalue,0.00017119058068737638
freelibrary,0.0001708308802890339
rtllookupfunctionentry,0.00016910784336281098
interlockedincrement,0.0001675881542486455
setendoffile,0.0001674537844059666
setnamedsecurityinfow,0.00016610397316184637
getshortpathnamea,0.00016364845302015203
dosdatetimetofiletime,0.00015969947542723227
atoi,0.00015943586673820853
variantchangetype,0.00015905530899191006
setbkcolor,0.00015839055986405503
initializecriticalsection,0.00015781807328308674
childwindowfrompoint,0.00015769176515314075
gettokeninformation,0.00015654760936752914
_configthreadlocale,0.00015545044188070521
api-ms-win-core-namedpipe-l1-1-0.dll,0.0001552233283526622
cryptimportkey,0.00015496249492615456
localfiletimetofiletime,0.00015301321217138324
outputdebugstringa,0.0001528939066439351
e_oemid,0.00015234220322362426
getprocaddress,0.00015178664990958904
sethandleinformation,0.00015063650288897176
multibytetowidechar,0.00014945644132603286
waitformultipleobjects,0.00014829108357277093
setdlgitemint,0.00014691619178465473
getfileversioninfosizea,0.0001452830130881847
getclasslongptrw,0.00014518977508444852
patblt,0.00014506616894677387
wsaasyncselect,0.00014260180658303621
ntqueryinformationprocess,0.00014190405106564313
registerhotkey,0.00014044355998958159
comparestringa,0.0001397880208523323
createfilea,0.00013961212908230122
heapcreate,0.0001392168304850928
getmessagea,0.0001388581909614808
vcruntime140.dll,0.00013848090803335536
getcurrentprocess,0.00013827688395799076
unregisterwait,0.00013737583808648025
seterrormode,0.00013697746671258927
getmodulehandlea,0.00013659589007370163
getusernamea,0.00013608379782710563
wcslen,0.00013490768460114585
api-ms-win-core-file-l1-1-0.dll,0.00013478298522700036
getcurrentthread,0.00013391986701351304
.text1,0.00013385478564276334
code,0.00013230134173446706
setfilepointer,0.00013033273326626063
loadresource,0.00013031275713963573
localalloc,0.00013012998619858968
createtoolhelp32snapshot,0.00012958848631958953
gettraceenablelevel,0.00012676686809920144
cryptcreatehash,0.000126446372695824
getfileversioninfoa,0.0001263019390901036
clsidfromstring,0.0001260528175460998
openprocess,0.000124655076345634
?eventsourcegettargetarrayevent@details@platform@@yapeaxpeaxipebxpea_j@z,0.0001244564517198063
ntquerysysteminformation,0.0001234867743188006
clienttoscreen,0.00012241826288153648
movewindow,0.00012219518638752994
lstrcmpia,0.00012210747178715312
_corexemain,0.00012196485223631472
isprocessorfeaturepresent,0.0001216383458149933
sleep,0.00012150766191140367
e_minalloc,0.00012111270369819977
