feature,importance
RESOURCE_Size,0.1566173264098669
MajorImageVersion,0.13376183937597058
_initterm,0.12343762185951816
comctl32.dll,0.06548414552653399
msvcrt.dll,0.05332310777852856
exit,0.049761660198386064
MajorOperatingSystemVersion,0.04513195784300465
_cexit,0.043950487105413584
BaseOfData,0.04309591309294174
.rsrc,0.038899595661533344
IMPORT_Size,0.03826078693937299
CheckSum,0.03617977896168044
_exit,0.028077195337591707
_xcptfilter,0.02685298657086919
__set_app_type,0.023924658739357844
SizeOfStackReserve,0.023346920198407946
DEBUG_Size,0.02270060500386641
LOAD_CONFIG_Size,0.021213698114926932
memset,0.015309206642483109
SizeOfStackCommit,0.010670508639745876
