ID,filename,RG,family
10000,2XClient_12.0_build_2193.paf.exe,0,0
10001,7-ZipPortable_21.07.paf.exe,0,0
10002,ARP.EXE,0,0
10003,AccountsControlHost.exe,0,0
10004,ActionUriServer.exe,0,0
10005,AddSuggestedFoldersToLibraryDialog.exe,0,0
10006,AdvancedRun.exe,0,0
10007,AgentService.exe,0,0
10008,AkelPadPortable_4.9.8.paf.exe,0,0
10009,AllThreadsView.exe,0,0
10010,AltStreamDump.exe,0,0
10011,AlternateStreamView.exe,0,0
10012,AntRenamerPortable_2.12.0.paf.exe,0,0
10013,AnyDesk.exe,0,0
10014,AppAudioConfig.exe,0,0
10015,AppCompatibilityView.exe,0,0
10016,AppCrashView.exe,0,0
10017,AppHostRegistrationVerifier.exe,0,0
10018,AppLaunch.exe,0,0
10019,AppNetworkCounter.exe,0,0
10020,AppReadWriteCounter.exe,0,0
10021,AppResolverUX.exe,0,0
10022,AppVClient.exe,0,0
10023,AppVDllSurrogate.exe,0,0
10024,AppVNice.exe,0,0
10025,AppVShNotify.exe,0,0
10026,AppVStreamingUX.exe,0,0
10027,ApplicationFrameHost.exe,0,0
10028,ApplySettingsTemplateCatalog.exe,0,0
10029,ApplyTrustOffline.exe,0,0
10030,ApproveChildRequest.exe,0,0
10031,AquaSnapPortable_1.23.11.paf.exe,0,0
10032,Ashampoo_AntiSpy.exe,0,0
10033,AssignedAccessLockApp.exe,0,0
10034,AtBroker.exe,0,0
10035,AuditShD.exe,0,0
10036,AuthHost.exe,0,0
10037,AutorunsPortable_14.09_English_online.paf.exe,0,0
10038,AxInstUI.exe,0,0
10039,BabelMapPortable_8.0.0.5_English.paf.exe,0,0
10040,BackgroundTransferHost.exe,0,0
10041,Baidu_WiFi_Hotspot.exe,0,0
10042,BatteryInfoView.exe,0,0
10043,BdeHdCfg.exe,0,0
10044,BdeUISrv.exe,0,0
10045,BioEnrollmentHost.exe,0,0
10046,BioIso.exe,0,0
10047,BitLockerDeviceEncryption.exe,0,0
10048,BitLockerToGo.exe,0,0
10049,BitLockerWizard.exe,0,0
10050,BitLockerWizardElev.exe,0,0
10051,BlueScreenView.exe,0,0
10052,BluetoothCL.exe,0,0
10053,BluetoothLogView.exe,0,0
10054,BluetoothView.exe,0,0
10055,Bluetooth_File_Transfer_PC.exe,0,0
10056,BrowserAddonsView.exe,0,0
10057,BrowserCore.exe,0,0
10058,BrowserDownloadsView.exe,0,0
10059,BrutalChessPortable_0.5.2.2_English.paf.exe,0,0
10060,BulkFileChanger.exe,0,0
10061,BulletsPassView.exe,0,0
10062,ByteCodeGenerator.exe,0,0
10063,CDGS.exe,0,0
10064,CHXSmartScreen.exe,0,0
10065,CIDiag.exe,0,0
10066,CPU-ZPortable_2.00_English.paf.exe,0,0
10067,CSVFileView.exe,0,0
10068,CameraBarcodeScannerPreview.exe,0,0
10069,CameraSettingsUIHost.exe,0,0
10070,CapturePicker.exe,0,0
10071,CastSrv.exe,0,0
10072,CertEnrollCtrl.exe,0,0
10073,CheckNetIsolation.exe,0,0
10074,ChecksumControlPortable_2.4.4.paf.exe,0,0
10075,ChromeCacheView.exe,0,0
10076,ChromeCookiesView.exe,0,0
10077,ChromeHistoryView.exe,0,0
10078,ChsIME.exe,0,0
10079,ChtIME.exe,0,0
10080,ClickyGonePortable_1.4.4.1_Rev_2_English.paf.exe,0,0
10081,ClipRenew.exe,0,0
10082,Clipboardic.exe,0,0
10083,CloudExperienceHostBroker.exe,0,0
10084,CloudNotifications.exe,0,0
10085,CloudStorageWizard.exe,0,0
10086,ColourContrastAnalyserPortable_2.5.0.0.paf.exe,0,0
10087,ComSvcConfig.exe,0,0
10088,ComboFix.exe,0,0
10089,CommandPromptPortable_2.6.paf.exe,0,0
10090,CompMgmtLauncher.exe,0,0
10091,CompPkgSrv.exe,0,0
10092,CompatTelRunner.exe,0,0
10093,ComputerDefaults.exe,0,0
10094,ConfigSecurityPolicy.exe,0,0
10095,ConsolePortable_2.00_b148_Rev_2_English.paf.exe,0,0
10096,ControlMyMonitor.exe,0,0
10097,ControlPadPortable_0.72_English.paf.exe,0,0
10098,ConverberPortable_2.3.1_Rev_2.paf.exe,0,0
10099,CookTimerPortable_0.9.3_Rev_2_English.paf.exe,0,0
10100,CountryTraceRoute.exe,0,0
10101,CredDialogHost.exe,0,0
10102,CredentialUIBroker.exe,0,0
10103,CredentialsFileView.exe,0,0
10104,CrystalDiskInfoPortable_8.16.0.paf.exe,0,0
10105,CrystalDiskMarkPortable_8.0.4a.paf.exe,0,0
10106,CubicExplorerPortable_0.95.1_Rev_2.paf.exe,0,0
10107,CustomExplorerToolbar.exe,0,0
10108,DFDWiz.exe,0,0
10109,DM2Portable_1.23.1.1.paf.exe,0,0
10110,DNSDataView.exe,0,0
10111,DNSLookupView.exe,0,0
10112,DNSQuerySniffer.exe,0,0
10113,DSpeechPortable_1.73.339.paf.exe,0,0
10114,DSynchronizePortable_2.48.28.paf.exe,0,0
10115,DTUHandler.exe,0,0
10116,DTaskManagerPortable_1.57.11.paf.exe,0,0
10117,DUMoPortable_2.24.1.119.paf.exe,0,0
10118,DWWIN.EXE,0,0
10119,DaphnePortable_2.04.paf.exe,0,0
10120,DataExchangeHost.exe,0,0
10121,DataProtectionDecryptor.exe,0,0
10122,DataStoreCacheDumpTool.exe,0,0
10123,DataUsageLiveTileTask.exe,0,0
10124,DebugViewPortable_4.90_Release_2_English_online.paf.exe,0,0
10125,Defrag.exe,0,0
10126,DevManView.exe,0,0
10127,DeviceCensus.exe,0,0
10128,DeviceCredentialDeployment.exe,0,0
10129,DeviceEject.exe,0,0
10130,DeviceEnroller.exe,0,0
10131,DeviceIOView.exe,0,0
10132,DevicePairingWizard.exe,0,0
10133,DeviceProperties.exe,0,0
10134,DiagnosticsHub.StandardCollector.Service.exe,0,0
10135,Dialupass.exe,0,0
10136,DicomPortable_1.1.1.paf.exe,0,0
10137,DiffpdfPortable_2.1.3.paf.exe,0,0
10138,DiskCleanerPortable_1.7.1645_Rev_2_English.paf.exe,0,0
10139,DiskCountersView.exe,0,0
10140,DiskSmartView.exe,0,0
10141,DiskSnapshot.exe,0,0
10142,Dism.exe,0,0
10143,DismHost.exe,0,0
10144,DisplaySwitch.exe,0,0
10145,DittoPortable_3.24.214.paf.exe,0,0
10146,DmNotificationBroker.exe,0,0
10147,DmOmaCpMo.exe,0,0
10148,DomainHostingView.exe,0,0
10149,DontPanicPortable_3.1.0.paf.exe,0,0
10150,DownTester.exe,0,0
10151,DpiScaling.exe,0,0
10152,DriveLetterView.exe,0,0
10153,DriverPack-17-Online_undefined__xmlqakf5npz02kg.exe,0,0
10154,DriverView.exe,0,0
10155,DsmUserTask.exe,0,0
10156,DumpEDID.exe,0,0
10157,DuplicateFilesFinderPortable_0.8.0_English.paf.exe,0,0
10158,Dxpserver.exe,0,0
10159,DynDNSSimplyClientPortable_2.0.0.2_Rev_2.paf.exe,0,0
10160,EASPolicyManagerBrokerHost.exe,0,0
10161,EDPCleanup.exe,0,0
10162,ESEDatabaseView.exe,0,0
10163,Eap3Host.exe,0,0
10164,EaseOfAccessDialog.exe,0,0
10165,EdgeCookiesView.exe,0,0
10166,EduPrintProv.exe,0,0
10167,EhStorAuthn.exe,0,0
10168,EncryptedRegView.exe,0,0
10169,EventLogChannelsView.exe,0,0
10170,EventLogSourcesView.exe,0,0
10171,Everything-1.4.1.969.x86-Setup.exe,0,0
10172,EverythingPortable_1.4.1.1015.paf.exe,0,0
10173,ExecutedProgramsList.exe,0,0
10174,ExifDataView.exe,0,0
10175,ExplorerPlusPlusPortable_1.3.5.paf.exe,0,0
10176,ExtExport.exe,0,0
10177,ExtPassword.exe,0,0
10178,FBCacheView.exe,0,0
10179,FXSCOVER.exe,0,0
10180,FXSSVC.exe,0,0
10181,FXSUNATD.exe,0,0
10182,FaceFodUninstaller.exe,0,0
10183,FastCopyPortable_4.1.4.paf.exe,0,0
10184,FastResolver.exe,0,0
10185,FeedingFrenzy2Setupen.exe,0,0
10186,FileAccessErrorView.exe,0,0
10187,FileActivityWatch.exe,0,0
10188,FileAlyzerPortable_2.0.5.57_English.paf.exe,0,0
10189,FileExplorer.exe,0,0
10190,FileHistory.exe,0,0
10191,FilePicker.exe,0,0
10192,FileTypesMan.exe,0,0
10193,FirefoxDownloadsView.exe,0,0
10194,Firewall_Rules.exe,0,0
10195,FirmwareTablesView.exe,0,0
10196,FirstLogonAnim.exe,0,0
10197,FlashCookiesView.exe,0,0
10198,FlashPlayerApp.exe,0,0
10199,FlashUtil_ActiveX.exe,0,0
10200,FolderChangesView.exe,0,0
10201,FolderTimeUpdate.exe,0,0
10202,Fondue.exe,0,0
10203,FreeFileSyncPortable_6.2.paf.exe,0,0
10204,FreeSpaceLogView.exe,0,0
10205,FreeUPXPortable_3.1.paf.exe,0,0
10206,Free_Chess.exe,0,0
10207,FsIso.exe,0,0
10208,FullEventLogView.exe,0,0
10209,FyrePortable_1.0.0_English.paf.exe,0,0
10210,GDIView.exe,0,0
10211,GIRSpCheck.exe,0,0
10212,GUIPropView.exe,0,0
10213,GameBarPresenceWriter.exe,0,0
10214,GamePanel.exe,0,0
10215,GeekUninstallerPortable_1.4.9.151.paf.exe,0,0
10216,GenValObj.exe,0,0
10217,GetNir.exe,0,0
10218,GreenfishIconEditorProPortable_3.6.paf.exe,0,0
10219,GridyPortable_0.70_English.paf.exe,0,0
10220,HDHackerPortable_1.6.5.paf.exe,0,0
10221,HOSTNAME.EXE,0,0
10222,HTTPNetworkSniffer.exe,0,0
10223,HandleCountersView.exe,0,0
10224,HashMyFiles.exe,0,0
10225,HeapMemView.exe,0,0
10226,HostedNetworkStarter.exe,0,0
10227,HotKeysList.exe,0,0
10228,IECacheView.exe,0,0
10229,IEChooser.exe,0,0
10230,IMCCPHR.exe,0,0
10231,IMEPADSV.EXE,0,0
10232,IMESEARCH.EXE,0,0
10233,IMEWDBLD.EXE,0,0
10234,IMJPDCT.EXE,0,0
10235,IMJPSET.EXE,0,0
10236,IMJPUEX.EXE,0,0
10237,IMTCLNWZ.EXE,0,0
10238,IMTCPROP.exe,0,0
10239,IObitUnlockerPortable_1.2.paf.exe,0,0
10240,IPInfoOffline.exe,0,0
10241,IPNeighborsView.exe,0,0
10242,IcsEntitlementHost.exe,0,0
10243,ImageCacheViewer.exe,0,0
10244,ImagingDevices.exe,0,0
10245,ImeBroker.exe,0,0
10246,InfDefaultInstall.exe,0,0
10247,InputPersonalization.exe,0,0
10248,InsideClipboard.exe,0,0
10249,InstallMTW6.9a.exe,0,0
10250,InstalledAppView.exe,0,0
10251,InstalledCodec.exe,0,0
10252,InstalledDriversList.exe,0,0
10253,InstalledPackagesView.exe,0,0
10254,IntelWiDiMediaShareSetup.exe,0,0
10255,JPEGViewPortable_1.0.39.1.paf.exe,0,0
10256,JavaPortableLauncher_6.0.paf.exe,0,0
10257,JkDefragPortable_3.36_Rev_2.paf.exe,0,0
10258,JumpListsView.exe,0,0
10259,KCleanerPortable_3.8.3.113.paf.exe,0,0
10260,KeyboardStateView.exe,0,0
10261,LanguageComponentsInstallerComHandler.exe,0,0
10262,LastActivityView.exe,0,0
10263,LaunchTM.exe,0,0
10264,LaunchWinApp.exe,0,0
10265,LazPaintPortable_7.1.6.paf.exe,0,0
10266,LegacyNetUXHost.exe,0,0
10267,LicenseManagerShellext.exe,0,0
10268,LicensingUI.exe,0,0
10269,LightscreenPortable_2.5_English.paf.exe,0,0
10270,ListaryPortable_3.51.858.paf.exe,0,0
10271,LiveContactsView.exe,0,0
10272,LiveTcpUdpWatch.exe,0,0
10273,LoadedDllsView.exe,0,0
10274,LocationNotificationWindows.exe,0,0
10275,Locator.exe,0,0
10276,LockAppHost.exe,0,0
10277,LockScreenContentServer.exe,0,0
10278,LogonUI.exe,0,0
10279,LsaIso.exe,0,0
10280,MACAddressView.exe,0,0
10281,MBR2GPT.EXE,0,0
10282,MDEServer.exe,0,0
10283,MDMAgent.exe,0,0
10284,MDMAppInstaller.exe,0,0
10285,MMCSnapInsView.exe,0,0
10286,MRINFO.EXE,0,0
10287,MSBuild.exe,0,0
10288,MSchedExe.exe,0,0
10289,MUICacheView.exe,0,0
