feature,preselection_importance
_exit,0.03678219551039543
_initterm,0.029867827382702078
RESOURCE_Size,0.02797669100983982
MajorImageVersion,0.02750292509653662
LOAD_CONFIG_Size,0.02431413357219689
SizeOfStackReserve,0.021110901538962005
.rsrc,0.02109291986836048
memset,0.020453498196801565
_xcptfilter,0.020224150215171086
exit,0.019186339598011817
BaseOfData,0.01910482475368579
MajorOperatingSystemVersion,0.018530455277441082
comctl32.dll,0.018368405670520224
CheckSum,0.017292041736254368
msvcrt.dll,0.016081302539609786
IMPORT_Size,0.01522999386950146
DEBUG_Size,0.014830287003722409
SizeOfStackCommit,0.013548605881059323
__set_app_type,0.013516195061258545
_cexit,0.012755269775435023
__setusermatherr,0.012149412090572994
IAT_Size,0.012046217757812611
Overlay,0.012000403741327968
MinorOperatingSystemVersion,0.011698021102002087
Total,0.011078477775490305
_amsg_exit,0.010373615489124863
MajorSubsystemVersion,0.010351412119038918
SECURITY_Size,0.01003762612411015
getdc,0.009644548279223411
__wgetmainargs,0.009612556984363039
RESOURCE_VA,0.008854259231352982
Header,0.008015546147892079
.data,0.00789596833379761
.text,0.007833991002911097
DllCharacteristics,0.007820820908254844
SizeOfCode,0.006276696355641553
rtlcapturecontext,0.006189034173811991
showwindow,0.006011304915982217
beginpaint,0.005868904147869494
.rdata,0.005865253052571423
Characteristics,0.005859343810175991
__cxxframehandler3,0.005832372689056082
?terminate@@yaxxz,0.005805657013633954
MinorLinkerVersion,0.005536134592313292
settimer,0.00540753859405462
_vsnwprintf,0.005350350854951985
SizeOfOptionalHeader,0.005116016635023277
api-ms-win-core-errorhandling-l1-1-0.dll,0.005068617294591412
comdlg32.dll,0.004943805409508168
isvalidcodepage,0.004928657668813968
memcpy,0.004845526327552982
SizeOfImage,0.00482315824565018
EXCEPTION_VA,0.004651677957755571
api-ms-win-core-profile-l1-1-0.dll,0.004592878965778663
version.dll,0.004510759463007937
_except_handler4_common,0.004412897751608571
setcursor,0.004340393099128544
imagelist_destroy,0.004313293171238629
malloc,0.004230062265096295
getclientrect,0.004027724824186359
free,0.0038912299919632827
invalidaterect,0.0038480039205605427
enablemenuitem,0.003630524466588682
imagelist_create,0.003585293023272256
SizeOfUninitializedData,0.0035818903049062456
_c_exit,0.0034116882766301133
openclipboard,0.0034065160935003234
MajorLinkerVersion,0.003401879319637797
queryperformancecounter,0.003399697958863575
IMPORT_VA,0.003328093464293948
SizeOfInitializedData,0.0030926884796357063
e_lfanew,0.0030764945114934387
globalunlock,0.0029079814582298126
ImageBase,0.002907504456138677
upx1,0.002823254564371317
.pdata,0.0028071185160070504
code_to_image_ratio,0.0027645599193936708
IAT_VA,0.00276345288689975
EXCEPTION_Size,0.0027160427793983637
iswindowvisible,0.002630549516536922
MinorSubsystemVersion,0.0026301013220359393
deleteobject,0.0026060598728807082
getsyscolor,0.0025638160010827095
SECURITY_VA,0.002555588137259544
imagelist_addmasked,0.0025189390392019386
exitthread,0.002507650504596678
DEBUG_VA,0.0025028416169314564
_wcsicmp,0.002483259375805936
rtlvirtualunwind,0.0024309839346246588
AddressOfEntryPoint,0.0024192558448492
_commode,0.002343938840509096
setbkmode,0.0022983474154161646
emptyclipboard,0.0022971630884189693
rtllookupfunctionentry,0.002291434486065441
_fmode,0.0022345735843091476
BaseOfCode,0.0021933672103523257
_o_terminate,0.0021589397692319094
setforegroundwindow,0.0021405932246243804
setwindowpos,0.0021297257368496055
wcschr,0.0020464235126678807
